Username,Name,Excellent Matches,Favorite Course,Good Matches,Okay Matches,Poor Matches,Unqualified Matches
student_15@princeton.edu,Student #15,461;516;429,516,333;226;302;513;326,,,302;513;326;318;217;340;126;324;487;521;551;432;375;451;526;109;529;561
student_16@princeton.edu,Student #16,526;302;217;333,217,326;432;375;516,,,432;375;516;461;340;551;126;324;109;487;521;513;451;429;561;318;226;529
student_17@princeton.edu,Student #17,429;326,326,375,340;126;226;302;333,,333;521;461;551;217;324;318;526;109;487;451;432;516;513;529;561
student_18@princeton.edu,Student #18,487;324;451;302,324,,,324;451;302;126,217;333;429;109;529;340;461;521;516;375;226;318;326;432;551;526;513;561
student_19@princeton.edu,Student #19,326;126;461,126,,461;302,333;340;432,516;429;217;226;324;109;375;318;551;521;529;513;526;451;561;487
student_20@princeton.edu,Student #20,487;302;521;318,302,126;326;333,,,318;126;326;333;461;324;429;375;513;529;432;340;551;226;561;109;217;451;526;516
student_21@princeton.edu,Student #21,551;451,451,326;432,461,,451;326;432;461;324;340;226;318;529;126;429;375;217;302;333;516;521;487;561;109;513;526
student_22@princeton.edu,Student #22,432;521,432,109;226;326,,226;326,340;324;126;451;529;461;333;217;429;318;487;302;526;516;375;561;551;513
student_23@princeton.edu,Student #23,375;126;326,326,217;516,529,,516;529;340;513;324;333;302;226;432;429;318;461;551;487;521;451;561;526;109
student_24@princeton.edu,Student #24,126;429;461,429,226;109;529,,126;429;461;226;109;529;326;340,521;318;324;375;302;217;432;551;561;487;526;451;516;333;513
student_25@princeton.edu,Student #25,516;324;340;526,340,,,516,324;340;526;429;217;461;333;318;432;521;226;326;375;126;487;302;529;109;513;551;451;561
student_26@princeton.edu,Student #26,333;217,217,302;340,,340;461,324;551;429;109;126;487;432;375;521;516;526;451;318;226;326;529;513;561
student_27@princeton.edu,Student #27,432;375;324,375,217;461;318;126;340,,217;461;318;126;340,326;226;302;333;109;551;429;513;487;521;561;529;526;516;451
student_28@princeton.edu,Student #28,429;326;318,326,,,318,217;521;461;333;432;126;324;109;375;226;529;302;340;513;526;451;561;516;551;487
student_29@princeton.edu,Student #29,217;318;340;326,318,,340;326;516;126;302;432,,302;432;324;375;461;226;487;529;561;109;513;521;333;429;451;526;551
student_30@princeton.edu,Student #30,126;375;529,126,,521,217;318;340;302,432;324;487;109;333;429;326;516;226;461;451;513;561;526;551
student_31@princeton.edu,Student #31,429;126;521;375,521,461;529,340;226,,521;375;461;529;340;226;432;516;318;324;333;109;302;217;487;326;513;526;561;451;551
student_32@princeton.edu,Student #32,226;217,217,,,,217;324;326;487;302;340;375;461;521;333;126;529;318;526;432;429;513;451;516;551;561;109
student_33@princeton.edu,Student #33,429;318;461;126,429,226;326,,,318;461;126;226;326;324;561;432;302;526;516;333;217;487;551;521;109;375;340;513;529;451
student_34@princeton.edu,Student #34,432;302,302,375;324;226;461,,375;324;226;461;109;340,318;429;551;487;516;326;126;217;451;521;561;333;526;513;529
student_35@princeton.edu,Student #35,326;429;487,326,318;324,,326;429;487;318;324;126,451;340;529;302;226;521;561;432;375;217;551;333;461;109;516;513;526
student_36@princeton.edu,Student #36,375;461,375,451;516;326,,516;326;340;561;217,126;487;432;302;521;226;551;324;429;333;109;513;318;526;529
student_37@princeton.edu,Student #37,326;302;324;461,302,126;217;333;521,,,461;126;217;333;521;513;451;432;526;561;226;487;375;529;429;340;318;551;109;516
student_38@princeton.edu,Student #38,326;432;226,326,461;429;318;126;217,,432;226;461;429;318;126;217,487;516;340;521;302;324;333;526;375;551;529;451;561;513;109
student_39@princeton.edu,Student #39,326;375,326,432;324;217,521,,432;324;217;521;340;302;226;126;333;516;429;451;513;461;561;487;318;526;109;551;529
student_40@princeton.edu,Student #40,126;324;326;521,324,,521,109;526,340;318;487;375;551;302;429;217;529;333;516;226;432;451;561;461;513
student_41@princeton.edu,Student #41,451;333;126;226,226,,429;340;487,,516;513;461;326;521;217;526;324;318;432;302;375;529;551;561;109
student_42@princeton.edu,Student #42,340;333,333,326;461;429;217,,217;126,375;318;324;302;109;226;516;432;487;521;561;451;513;529;551;526
student_43@princeton.edu,Student #43,529;326;217,529,324;461,,487;318,432;226;126;340;302;429;333;513;521;375;561;109;516;526;451;551
student_44@princeton.edu,Student #44,451;217,451,375,,375;340;429;432;461;326,513;333;226;487;302;324;126;551;109;526;521;529;318;561;516
student_45@princeton.edu,Student #45,302;516;324,324,326;513;487;340,,302,516;324;326;513;487;340;451;461;526;333;375;432;521;226;551;561;429;217;318;126;529;109
student_46@princeton.edu,Student #46,375;326;126;302,126,226;324;521;333,,,375;326;126;302;226;324;521;333;109;461;340;318;529;429;217;551;451;513;432;516;561;487;526
student_47@princeton.edu,Student #47,461;326;333,326,429;324,375,526;126,340;302;521;318;226;561;217;432;551;513;487;451;516;109;529
student_48@princeton.edu,Student #48,432;429;324;516,432,302;333;217,340,,302;333;217;340;326;375;513;126;526;226;521;551;461;109;318;487;561;529;451
student_49@princeton.edu,Student #49,375;324;429;326,429,,217,,326;217;333;340;226;561;521;126;551;302;516;461;432;526;109;451;318;487;513;529
student_50@princeton.edu,Student #50,226;375;429,226,,,429;326;340,109;126;432;521;318;513;302;217;324;487;333;461;516;551;529;526;561;451
student_51@princeton.edu,Student #51,324;461;561;217,561,326;126,521;302,,340;551;432;375;516;451;529;487;318;226;429;333;109;513;526
student_52@princeton.edu,Student #52,429;340;432;526,432,,302;217;375;126,,217;375;126;333;451;326;324;461;521;226;551;516;318;513;487;561;529;109
student_53@princeton.edu,Student #53,326;217;429,429,526,561;333,,217;429;526;561;333;302;226;513;432;126;461;487;109;324;340;318;375;521;551;516;451;529
student_54@princeton.edu,Student #54,326;217;340,217,432;429;521;375,,375,333;461;318;109;324;126;513;526;529;226;451;302;516;551;561;487
student_55@princeton.edu,Student #55,432;333,432,326;302;226;429,,432;333;326;302,226;429;126;340;461;324;375;487;529;109;217;318;521;516;513;551;451;526;561
student_56@princeton.edu,Student #56,529;333;217,333,375;432;326;429,,,375;432;326;429;318;226;526;126;302;324;521;461;513;487;340;451;516;551;109;561
student_57@princeton.edu,Student #57,432;226;126;516,126,,126,516;561;461;324;326,375;521;109;340;487;333;217;302;318;526;513;529;429;551;451
student_58@princeton.edu,Student #58,217;126;302;226,126,429;461,,461;513,324;326;340;432;318;375;333;487;521;526;561;551;516;529;109;451
student_59@princeton.edu,Student #59,461;126;333,333,302;432;324,,,432;324;516;326;226;217;340;109;429;526;451;529;513;375;521;318;487;551;561
student_60@princeton.edu,Student #60,318;432;429;217,429,340;302;126;333,,,126;333;324;451;375;561;326;529;526;109;461;513;516;487;226;521;551
student_61@princeton.edu,Student #61,326;375;429,326,126,,375,429;126;109;340;521;461;302;333;226;487;324;217;561;516;551;432;451;318;529;526;513
student_62@princeton.edu,Student #62,451;333,333,,375;318;516,,217;126;326;324;340;551;529;302;432;461;429;487;513;226;561;526;521;109
student_63@princeton.edu,Student #63,521;217;324;126,126,302;318;432,,217;324,126;302;318;432;340;429;513;326;333;109;516;487;451;461;551;226;526;375;561;529
student_64@princeton.edu,Student #64,429;521;126,126,326;340;302;561,,,429;521;126;326;340;302;561;487;217;324;226;375;513;461;333;318;432;526;516;109;551;451;529
student_65@princeton.edu,Student #65,217;302,302,,,217;302;521;126;429,226;324;318;461;326;529;513;340;432;561;375;333;451;487;109;551;526;516
student_66@princeton.edu,Student #66,226;340;217;326,217,126;516,,516;487;461,432;302;529;429;324;561;318;333;109;521;513;526;375;451;551
student_67@princeton.edu,Student #67,429;126;513;226,513,,,226;516;375,302;432;217;326;461;333;340;529;487;324;318;451;109;526;521;551;561
student_68@princeton.edu,Student #68,217;302;529,217,326;521;451;429,,,326;521;451;429;432;375;516;324;126;561;513;318;461;340;333;551;226;526;487;109
student_69@princeton.edu,Student #69,429;302;521;326,302,,521;326;226,,521;326;226;126;217;526;375;324;461;318;487;340;333;432;451;516;551;109;513;529;561
student_70@princeton.edu,Student #70,318;333;302,333,,302;217,461;516;326;126,432;429;226;340;324;521;487;551;375;451;529;109;513;561;526
student_71@princeton.edu,Student #71,340;326;432,326,126;324;226;551,,,324;226;551;461;217;487;429;318;302;333;521;375;109;561;451;516;513;526;529
student_72@princeton.edu,Student #72,333;126;429;217,126,,461;226,,217;461;226;516;561;375;432;326;340;529;521;487;324;318;302;451;109;513;551;526
student_73@princeton.edu,Student #73,375;302,302,126,,429;217;318;326;226,432;333;529;551;526;516;324;513;451;340;461;561;521;487;109
student_74@princeton.edu,Student #74,126;333,333,326;217;324;318;429;302,,333;326;217;324;318;429,302;516;461;432;513;487;226;340;109;375;529;521;551;561;451;526
student_75@princeton.edu,Student #75,461;340,340,324,,461;340;324;521;561,326;429;432;318;526;217;226;375;126;333;302;529;487;516;513;109;551;451
student_76@princeton.edu,Student #76,302;375;451,451,521,340;461;432,,432;429;324;333;126;516;217;226;487;326;318;526;551;529;513;561;109
student_77@princeton.edu,Student #77,429;461,461,126;375;521;513,,429;461;126;375;521;513;226;217,326;318;432;324;340;516;302;333;529;561;526;487;551;451;109
student_78@princeton.edu,Student #78,318;324,318,333;126,326;432,,324;333;126;326;432;429;461;302;340;521;217;487;516;375;551;561;526;529;226;451;513;109
student_79@princeton.edu,Student #79,324;326,324,333;126;226;461,,,324;326;333;126;226;461;217;318;375;521;432;429;340;487;302;109;451;561;513;526;551;516;529
student_80@princeton.edu,Student #80,217;302;429,429,226;126;324;340,,,217;302;429;226;126;324;340;461;487;318;432;109;326;333;551;561;521;516;451;375;529;513;526
student_81@princeton.edu,Student #81,324;375;429;326,324,,,126;461,561;487;521;526;432;226;340;302;513;217;516;318;333;551;109;451;529
student_82@princeton.edu,Student #82,461;432;326,326,,326;429;516;340;375;126,,429;516;340;375;126;324;451;487;226;513;526;109;217;333;529;302;318;551;561;521
student_83@princeton.edu,Student #83,521;109,109,429;516;217;226;302;326,,226,302;326;324;432;126;487;375;340;529;526;513;333;561;318;461;451;551
