Username,Name,Excellent Matches,Favorite Course,Good Matches,Okay Matches,Poor Matches,Unqualified Matches
student_13@princeton.edu,Student #13,340;324,324,429;217;126;551;451;461,,,551;451;461;432;375;109;561;302;516;487;318;521;226;333;529;326;513;526
student_14@princeton.edu,Student #14,226;461;432;333,432,302;429,326,,326;217;487;521;324;126;526;375;340;516;451;529;109;551;318;561;513
student_15@princeton.edu,Student #15,451;429,451,432;324;513,,,429;432;324;513;340;326;318;461;217;302;333;375;226;487;561;109;126;516;521;529;526;551
student_16@princeton.edu,Student #16,326;324,324,333;432;516;217,,,324;333;432;516;217;526;340;513;487;126;318;302;461;226;529;429;561;551;375;521;451;109
student_17@princeton.edu,Student #17,217;461;429;516,461,,,461;429;516;551;340,432;126;226;375;513;333;529;302;324;521;326;561;109;318;487;451;526
student_18@princeton.edu,Student #18,451;429;561,451,126;326;432;529;333,,,126;326;432;529;333;226;375;318;324;461;340;487;516;109;521;302;217;513;526;551
student_19@princeton.edu,Student #19,333;461;340,461,,,333;461;340,487;432;217;551;226;326;429;375;529;526;521;318;302;126;516;451;324;513;109;561
student_20@princeton.edu,Student #20,340;375;217;326,217,461;324;529,,340;375;217;326;461;324;529;333,302;513;126;429;109;487;226;521;318;432;561;516;551;526;451
student_21@princeton.edu,Student #21,526;521,521,461;326;429;516,375,,516;375;126;432;226;217;318;324;302;487;333;513;340;109;561;551;529;451
student_22@princeton.edu,Student #22,326;340;302;318,302,,,,326;340;302;318;126;429;217;109;432;226;375;324;521;333;561;487;526;516;551;529;461;451;513
student_23@princeton.edu,Student #23,521;429,521,324;326;513;302;126;375,,326;513;302;126;375,516;340;109;432;226;461;551;217;318;529;561;333;487;526;451
student_24@princeton.edu,Student #24,324;451,451,429;126;461;326;333;340,,,451;429;126;461;326;333;340;375;217;521;318;526;529;432;226;516;109;561;302;513;487;551
student_25@princeton.edu,Student #25,516;333;326;126,516,324;340,,333;326,126;324;340;375;302;429;217;487;461;551;432;526;226;521;561;318;529;513;451;109
student_26@princeton.edu,Student #26,375;326;126,126,516;487;217,302;432,,302;432;521;461;429;451;324;340;318;333;529;561;109;226;551;526;513
student_27@princeton.edu,Student #27,375;126;521,521,,,375;126,521;302;432;487;429;326;340;529;561;333;217;226;318;516;324;451;461;526;551;513;109
student_28@princeton.edu,Student #28,529;226;429,226,,,226;429;551;340,217;461;521;375;326;109;526;487;324;432;126;451;561;333;516;318;302;513
student_29@princeton.edu,Student #29,333;429;461;326,333,513,126;432;521,,461;326;513;126;432;521;217;302;324;340;318;526;516;551;487;561;529;451;375;226;109
student_30@princeton.edu,Student #30,226;516;429,429,529,324;526;109,,516;429;529;324;526;109;487;302;521;326;126;432;217;461;340;375;513;333;551;318;451;561
student_31@princeton.edu,Student #31,333;324;126,333,109;217;302,,,333;324;126;109;217;302;432;461;429;521;226;326;529;375;318;340;513;487;561;516;526;551;451
student_32@princeton.edu,Student #32,324;326;375;429,375,109,,324;326,375;429;109;126;461;340;226;318;302;432;217;521;561;516;333;526;513;451;551;487;529
student_33@princeton.edu,Student #33,326;318,318,,461;432,,318;461;432;226;487;340;333;217;516;451;126;324;302;429;529;526;513;375;109;521;561;551
student_34@princeton.edu,Student #34,126;461,126,217;429;302,,302;318;432;326,529;375;487;109;333;516;324;340;521;226;551;561;451;513;526
student_35@princeton.edu,Student #35,326;226,326,461;432;324;302,,432;324;302;217;487,561;340;126;429;375;333;318;516;513;551;451;109;526;521;529
student_36@princeton.edu,Student #36,302;429,302,432;375;324;340,461;561,,324;340;461;561;513;126;217;487;318;516;333;109;326;226;521;526;451;529;551
student_37@princeton.edu,Student #37,217;516;340;318,340,326;302;324,126,,340;318;326;302;324;126;226;521;375;487;461;429;529;333;561;432;451;109;551;513;526
student_38@princeton.edu,Student #38,461;513,461,318,429;432;302;217;561,,217;561;451;324;487;551;326;126;375;529;340;521;226;333;516;109;526
student_39@princeton.edu,Student #39,126;340;487;326,326,561;302;318,,,302;318;333;429;516;551;451;226;432;461;375;324;217;526;529;521;513;109
student_40@princeton.edu,Student #40,451;340;109,340,302;126;551,,451;340;109,302;126;551;375;429;326;324;217;432;461;318;487;333;226;561;521;516;526;513;529
student_41@princeton.edu,Student #41,375;340;516,340,326;302;126;521,,,326;302;126;521;324;217;461;551;226;333;429;526;109;318;487;432;561;513;529;451
student_42@princeton.edu,Student #42,324;318;340;451,318,521,,324;318;340;451;521;333;217,226;429;551;126;326;516;432;302;375;526;461;561;529;513;487;109
student_43@princeton.edu,Student #43,226;126;302;324,126,,,,302;324;521;432;461;109;551;516;217;326;375;429;333;318;487;451;340;561;529;526;513
student_44@princeton.edu,Student #44,487;318;217,487,324;340;226;126;516,,,226;126;516;326;333;521;429;551;432;526;461;375;302;513;561;451;109;529
student_45@princeton.edu,Student #45,217;226;375;302,226,,,375;302;318,529;333;521;326;340;429;126;451;324;551;432;487;516;461;109;513;561;526
student_46@princeton.edu,Student #46,333;487;126,487,461;226;326,432;217,,333;487;126;461;226;326;432;217;109;429;318;302;340;324;529;375;513;516;526;521;451;551;561
student_47@princeton.edu,Student #47,429;521;126;340,429,432;333,,217;461,526;324;302;516;529;375;326;226;318;451;487;513;109;551;561
student_48@princeton.edu,Student #48,226;217,226,487;429;326;461;340,,226;217,487;429;326;461;340;324;432;516;521;302;126;375;529;513;526;318;451;561;333;109;551
student_49@princeton.edu,Student #49,217;324;375,217,,375;226;432,,432;461;429;333;487;326;318;551;126;516;451;340;561;302;521;109;526;529;513
student_50@princeton.edu,Student #50,324;126;217;429,324,,429;318;340;529,,324;126;217;429;318;340;529;326;461;375;302;432;333;521;109;487;226;561;516;513;451;551;526
student_51@princeton.edu,Student #51,126;326,126,513;302;324;487,,,513;302;324;487;561;217;551;429;333;526;226;340;461;432;529;318;521;375;516;451;109
student_52@princeton.edu,Student #52,326;126;461;302,461,318,,326;126;461;302,318;226;561;487;521;429;217;333;324;375;432;516;451;340;526;513;551;109;529
student_53@princeton.edu,Student #53,217;324,324,429;109;340;432;513,375,,109;340;432;513;375;226;333;126;326;461;561;318;302;526;521;516;487;551;529;451
student_54@princeton.edu,Student #54,126;429;333,429,324;487;318;375,,126;429;333;324;487;318;375;340,432;516;461;326;217;302;521;526;109;513;226;551;529;451;561
student_55@princeton.edu,Student #55,324;487,487,217;526;340;551;326;226,,,324;487;217;526;340;551;326;226;429;302;529;375;461;126;516;333;318;432;513;521;109;451;561
student_56@princeton.edu,Student #56,461;551;318;126,126,529;333,,529;333;217;375,302;226;513;429;324;326;487;432;521;340;526;109;516;561;451
student_57@princeton.edu,Student #57,513;432;429,432,529;521;126;333;340,,,432;429;529;521;126;333;340;461;551;326;217;375;561;226;324;109;516;318;487;302;526;451
student_58@princeton.edu,Student #58,126;432,126,461;375,109,,461;375;109;226;318;429;333;526;217;516;324;326;302;340;487;521;551;561;529;513;451
student_59@princeton.edu,Student #59,318;324,318,,226;126;461,,226;126;461;302;217;326;432;516;375;429;340;521;333;451;487;529;551;526;513;561;109
student_60@princeton.edu,Student #60,375;429;326,429,,326;324;333;461;226;302,,333;461;226;302;217;551;340;126;487;529;432;109;516;318;513;526;451;521;561
student_61@princeton.edu,Student #61,302;324;126,324,226;461;217,,,461;217;340;318;521;432;561;551;375;326;529;333;451;429;526;516;487;513;109
student_62@princeton.edu,Student #62,318;516;521,521,324;126;326;513,,,126;326;513;526;429;217;487;333;340;375;551;302;451;432;226;461;529;109;561
student_63@princeton.edu,Student #63,326;318,318,521;324;340,,324;340;217;126;302,461;526;516;432;333;375;561;429;529;551;513;226;487;451;109
student_64@princeton.edu,Student #64,324;109;461;326,461,429;226;217;521,,,324;109;461;326;429;226;217;521;318;375;487;126;302;340;516;333;432;551;526;451;513;561;529
student_65@princeton.edu,Student #65,516;521,516,340,561;217;333;429;226,,340;561;217;333;429;226;126;513;326;318;302;432;375;526;324;461;487;529;551;451;109
student_66@princeton.edu,Student #66,561;526,561,375;324;109;340,,,526;375;324;109;340;302;432;513;126;529;217;429;318;461;326;516;521;333;551;226;487;451
student_67@princeton.edu,Student #67,429;375;451;521,375,432,,375;451;521;432;126;226;324,340;326;461;333;318;217;302;487;516;513;551;109;561;526;529
student_68@princeton.edu,Student #68,333;375,333,126;429;324;432;521,,375;126;429;324;432;521;340,326;217;516;302;461;513;226;551;451;561;529;109;487;318;526
student_69@princeton.edu,Student #69,551;432;324;340,432,,333,126,461;217;516;375;487;513;521;326;302;451;429;318;226;526;561;529;109
student_70@princeton.edu,Student #70,226;461;340,226,432;217,,217;324;302,429;326;521;109;375;126;516;529;333;513;318;526;451;551;487;561
student_71@princeton.edu,Student #71,333;432;375;340,432,,340;217,461;513,318;429;529;326;226;521;324;126;302;526;487;516;109;551;561;451
student_72@princeton.edu,Student #72,324;318;326;126,324,461;521,,461;521,561;217;302;487;516;432;340;375;429;333;226;513;526;109;529;551;451
student_73@princeton.edu,Student #73,487;375;429,487,,324;333,,375;429;324;333;126;516;561;340;326;318;461;226;432;217;521;302;109;451;551;526;529;513
student_74@princeton.edu,Student #74,324;126,126,,340;529;302;429,,126;340;529;302;429;375;461;432;521;516;226;217;487;326;318;333;451;109;513;551;561;526
student_75@princeton.edu,Student #75,326;513;226;318,318,126;451;217,,,217;461;324;340;333;429;375;521;302;487;432;561;109;551;529;516;526
student_76@princeton.edu,Student #76,516;226;318,318,340;529;324;526;461,,,324;526;461;429;513;126;326;302;561;333;521;432;217;551;109;375;451;487
student_77@princeton.edu,Student #77,521;340,521,217;375;324,,,324;526;333;513;226;302;126;429;551;326;432;529;461;318;516;451;561;109;487
student_78@princeton.edu,Student #78,513;324;461;302,324,318;126;375,,461;302;318;126;375,340;226;217;521;432;429;326;561;529;333;516;451;526;551;109;487
student_79@princeton.edu,Student #79,217;487,487,324,375,,429;432;461;333;340;226;126;516;302;318;526;109;551;561;513;326;521;529;451
student_80@princeton.edu,Student #80,487;461;318;109,318,,217;516,,126;340;324;375;513;561;432;429;302;226;333;551;526;326;521;529;451
student_81@princeton.edu,Student #81,375;326,375,217;126;333,,,217;126;333;429;226;318;340;324;513;561;521;451;487;516;432;551;461;529;302;109;526
student_82@princeton.edu,Student #82,126;429;551;326,429,,324;561;226,,324;561;226;432;217;521;340;302;375;529;461;487;318;109;513;516;526;333;451
student_83@princeton.edu,Student #83,226;126;217,226,432;326;318;461;340,,,432;326;318;461;340;324;375;302;109;513;333;521;451;526;429;516;529;561;487;551
student_84@princeton.edu,Student #84,432;302;551;487,302,561;513;526,,,561;513;526;126;340;461;326;429;226;217;521;333;324;109;318;375;516;529;451
student_85@princeton.edu,Student #85,126;333,333,217;375;526;432,,302;551,318;529;324;429;109;340;226;326;561;521;461;487;516;451;513
student_86@princeton.edu,Student #86,302;324,302,326;217;521;318;126,,,302;324;326;217;521;318;126;333;226;461;340;432;561;375;109;516;487;526;451;429;551;529;513
student_87@princeton.edu,Student #87,226;340;326,226,,333,318;217,461;487;302;126;375;451;521;324;551;429;109;432;516;529;526;561;513
student_88@princeton.edu,Student #88,333;126;217,217,,217;302;326,,217;302;326;318;324;526;226;429;375;461;432;340;561;551;516;521;487;451;109;529;513
